image,question_1,question_2,question_3,question_4,question_5,answer
,Que faire si le bouton vocal de la télécommande ne fonctionne pas ?,le bouton vocal ne fonctionne pas,le bouton microphone ne répond pas,parler dans la télécommande ne fait rien,la recherche vocale ne fonctionne pas,"Vérifiez les autorisations du microphone ou les paramètres du service vocal. Sur certains modèles, la télécommande doit être connectée en Bluetooth pour que le bouton vocal fonctionne. Appairez à nouveau la télécommande, redémarrez le décodeur puis réessayez."
,Que faire si j'ai perdu la télécommande ?,j'ai perdu la télécommande,je ne trouve pas la télécommande,je l'ai perdue et ne peux pas contrôler l'appareil,j'ai besoin d'une nouvelle télécommande,"Vérifiez si le décodeur ou l'application mobile dispose d'une fonction de recherche de télécommande. Si ce n'est pas le cas, vous pouvez utiliser temporairement une appli de télécommande mobile, et contacter notre équipe d'assistance pour l'achat ou le remplacement de la télécommande."
,Que faire s'il n'y a pas de son venant du décodeur ?,pas de son,je n'entends rien,pas de volume,pas d'audio,"Vérifiez que ni le téléviseur ni le décodeur ne sont en sourdine, puis montez le volume. Rebranchez le câble HDMI et réinitialisez les paramètres de sortie audio du décodeur par défaut. Si vous utilisez une barre de son, vérifiez également son mode d'entrée."
,Que faire si le son et l'image ne sont pas synchronisés ?,le son est en retard,la synchronisation labiale est décalée,la synchronisation audio est incorrecte,le son est en retard par rapport à l'image,"Vérifiez les paramètres de correction du délai audio sur le téléviseur ou la barre de son. Essayez de passer la sortie audio du décodeur en Auto ou PCM. Si vous utilisez une barre de son, passez sur les haut-parleurs TV pour voir si le décalage s'améliore."
,Que faire s'il n'y a pas de son dans une application particulière ?,pas de son uniquement sur Netflix,YouTube est en sourdine,seulement une appli n'a pas de son,pas de son dans l'appli,"Vérifiez les paramètres de sourdine ou de volume dans l'appli, puis fermez-la complètement et rouvrez-la. Si le son fonctionne normalement dans d'autres applis ou en TV en direct, le problème vient probablement de cette appli. Essayez de mettre l'appli à jour ou de redémarrer le décodeur."
,Que faire s'il n'y a pas de son venant de la barre de son ?,pas de son venant de la barre de son,la barre de son est connectée mais silencieuse,pas de son sur la connexion ARC,pas d'audio venant de la barre de son,"Vérifiez que la barre de son est allumée et réglée sur le bon mode d'entrée pour le type de connexion (HDMI ARC, optique ou Bluetooth). Rebranchez le câble et vérifiez les paramètres de sortie audio du téléviseur."
,Que faire si l'application Netflix ne s'ouvre pas ?,Netflix ne charge pas,Netflix ne se lance pas,l'application Netflix ne s'ouvre pas,Netflix ne démarre pas,"Vérifiez la connexion internet du décodeur, puis fermez l'application Netflix et rouvrez-la. Si le problème persiste, redémarrez le décodeur et vérifiez les mises à jour de l'appli. Les problèmes de connexion ou de paiement doivent être résolus séparément via votre compte Netflix."
,Que faire si l'application YouTube se fige ou se ferme de façon inattendue ?,YouTube se ferme tout le temps,YouTube se fige,l'application YouTube se quitte,l'appli plante en cours de vidéo,"Fermez complètement l'application YouTube et rouvrez-la, puis redémarrez le décodeur. Si la connexion internet est instable, la vidéo peut se figer — vérifiez votre Wi-Fi ou LAN. Si le problème se reproduit, essayez de vider le cache de l'appli ou de la mettre à jour."
,Que faire si je n'arrive pas à me connecter à une application ?,je ne peux pas me connecter,la connexion à l'appli échoue,le mot de passe est correct mais la connexion échoue,l'authentification de l'appli ne fonctionne pas,"Vérifiez votre identifiant et mot de passe, et assurez-vous que le même compte fonctionne sur un téléphone mobile ou un PC. Si la date et l'heure du décodeur sont incorrectes, cela peut provoquer des échecs de connexion. Les problèmes de blocage de compte ou de paiement doivent être résolus auprès du support de l'appli concernée."
,Que faire si une application ne s'installe pas ou ne se met pas à jour ?,l'appli ne s'installe pas,la mise à jour échoue,je n'arrive pas à installer l'appli,rien ne se télécharge depuis le store,"Vérifiez l'espace de stockage et la connexion internet du décodeur. Si le stockage est limité, supprimez les applis inutilisées ou videz le cache, puis réessayez. Si les mises à jour échouent encore, redémarrez le décodeur et réessayez."
,Comment mettre à jour le logiciel du décodeur ?,où puis-je mettre à jour le logiciel ?,comment faire une mise à jour système ?,comment mettre à jour le firmware ?,où se trouve le menu de mise à jour ?,Accédez à Informations sur l'appareil ou Mise à jour du système dans les paramètres du décodeur. N'éteignez pas le décodeur et ne débranchez pas les câbles pendant la mise à jour. Le décodeur peut redémarrer automatiquement une fois la mise à jour terminée.
,Que faire si le décodeur est lent après une mise à jour ?,il est lent après la mise à jour,il a ralenti après la mise à jour,il répond lentement depuis la mise à jour,les performances ont chuté après la mise à jour,"Il est normal que l'appareil soit temporairement plus lent juste après une mise à jour, le temps que les applis soient optimisées. Attendez environ 5 minutes, puis redémarrez le décodeur. S'il reste lent, vérifiez l'espace de stockage et supprimez les applis inutilisées."
,Que faire si j'ai oublié mon mot de passe ?,j'ai oublié mon mot de passe,je ne me souviens pas de mon mot de passe,je ne connais pas mon mot de passe de connexion,je voudrais récupérer mon mot de passe de compte,"Les mots de passe ne peuvent pas être récupérés directement depuis le décodeur. Utilisez l'option « Mot de passe oublié » du service concerné, ou récupérez votre compte depuis un téléphone mobile ou un PC. Pour des raisons de protection des données, les agents ne peuvent pas vous communiquer votre mot de passe directement."
,Que faire si le problème n'est pas résolu après les étapes d'auto-assistance ?,j'ai tout essayé et ça ne marche toujours pas,le problème n'est toujours pas résolu,le problème se reproduit sans cesse,un code d'erreur s'affiche,"Si vous avez déjà débranché l'alimentation, vérifié le HDMI et redémarré le routeur et le décodeur, mais que le problème persiste, l'appareil ou la ligne internet devra peut-être être inspecté. Notez les codes d'erreur affichés à l'écran et contactez notre équipe d'assistance."
,Quel genre d'entreprise est Marusys ?,Parlez-moi de Marusys,Quel est le site web et l'e-mail de Marusys,Infos sur le fabricant de décodeurs Marusys,Comment contacter Marusys,"Depuis 28 ans, de la Corée du Sud aux marchés mondiaux, Marusys conçoit et fabrique des décodeurs haute performance, des appareils réseau et des solutions alimentées par l'IA. Marusys rapproche les gens des contenus et des services qu'ils aiment — à tout moment et en tout lieu. Vous pouvez les contacter via le site officiel à l'adresse www.marusys.com ou par e-mail à sales@marusys.com. La page d'accueil du catalogue de produits est disponible sur https://www.company.com/brochure.pdf."
,Pouvez-vous expliquer le produit Genie A ?,Parlez-moi de Genie A,Caractéristiques et fonctionnalités de Genie A,Décodeur IPTV Android Genie A,Quelle est la taille de Genie A,"Genie A est un boîtier décodeur IPTV/OTT basé sur Android 11, équipé d'une IA et d'un contrôle vocal en champ lointain (FFV), fabriqué spécialement pour KT. Il dispose d'un haut-parleur intégré d'une puissance de 3W offrant une voix claire et est propulsé par un processeur quad-core Cortex-A55. Il comprend 3 Go de mémoire DDR4, 16 Go de stockage eMMC, le Bluetooth 5.0, l'HDMI 2.0, des ports USB 2.0, un port LAN filaire RJ45 (10/100 Mbps) et une borne de sortie optique S/PDIF pour l'audio numérique. Il présente un design compact avec des dimensions de 135 x 135 x 32.5 mm."
ai_4_vision.png,Quelles sont les principales fonctions et spécifications d'AI 4 Vision ?,Spécifications d'AI 4 Vision,Décodeur avec caméra 4K,Performances du NPU d'AI 4 Vision,STB avec IA de SK Broadband,"AI 4 Vision est un décodeur basé sur Android doté d'une caméra 4K intégrée, d'une commande vocale en champ lointain (FFV) et d'un haut-parleur intégré de 7W, fabriqué spécialement pour SK Broadband. Il offre un puissant traitement de l'IA grâce à son NPU de 6.75TOPS, son processeur Quad-Core Cortex-A73, ses 4 Go de mémoire LPDDR4x et ses 32 Go de stockage eMMC. Il prend en charge Dolby Vision et HDR 10+ pour des appels vidéo optimaux, et comprend le Bluetooth 5.2, l'HDMI 2.1 et l'USB 3.0. La protection de la vie privée est assurée par un commutateur ON/OFF pour la caméra et un bouton de désactivation du microphone. Ses dimensions sont de 145 x 122.5 x 38 mm."
giga_genie_4.png,Veuillez fournir des informations sur le produit Genie 4.,Spécifications de performance de Genie 4,Puissance du haut-parleur de Genie 4,Décodeur Dolby ATMOS,Version de l'OS et mémoire de Genie 4,"Genie 4 est un décodeur tout-en-un de nouvelle génération basé sur Android, doté d'une technologie d'IA premium et d'un système de son de haute qualité, fabriqué spécialement pour KT. Il intègre un haut-parleur de 20W et prend en charge les technologies Dolby ATMOS et Audio Equalization (EQ). Équipé d'un processeur Quad-Core Cortex-A76 et d'un NPU de 3.2TOPS sous Android 14 OS, il comprend 6 Go de mémoire LPDDR4x et 32 Go de stockage eMMC. Il dispose de Dolby Vision, HDR 10+, Bluetooth 5.3, HDMI 2.1, USB 2.0, Gigabit Ethernet, sortie optique S/PDIF, contrôle vocal en champ lointain (FFV) et un capteur d'illumination. Les dimensions sont de 168 x 128 x 117 mm (boîtier) et 168 x 168 x 135 mm (avec support)."
soundbar.png,Quelles sont les caractéristiques distinctives de la barre de son ?,Infos sur la barre de son avec IA,Spécifications de la barre de sou,Barre de son avec capteur de qualité de l'air,Système de barre de son avec enceintes arrière,"La barre de son est un appareil de divertissement à domicile intégré doté d'un écran LCD frontal de 2.86 pouces, d'une caméra QHD intégrée, d'une commande vocale en champ lointain (FFV) et d'un système audio de pointe (2 haut-parleurs principaux de 20W, 2 haut-parleurs supérieurs de 10W, 2 tweeters et 10W par haut-parleur arrière séparé). Il fonctionne sous Android 14 avec un processeur Quad Cortex-A55, 4 Go de mémoire LPDDR4x, 32 Go d'eMMC, le Wi-Fi 7, le Bluetooth 6.0, l'HDMI 2.1, l'USB 2.0 et le Gigabit Ethernet. Il dispose de capteurs radar (60GHz), de luminosité ambiante et de capteurs environnementaux (température, humidité, poussières fines, CO, CO2, COV). Les fonctionnalités incluses sont AI Guardian, Sécurité, Centre d'appels, Événement d'équipe, Personnalisation, Vidéo HQ, sous-titres en temps réel, Gestes et Karaoké. La taille de l'ensemble complet est de 880 x 110.5 x 62 mm."
portable_tv.png,Quelles fonctions offre la TV portable avec second écran ?,Spécifications de la TV portable,TV intelligente portable 27 pouces,Moniteur mobile à double écran,Écran intelligent avec batterie intégrée,"La TV portable avec second écran est un appareil multimédia premium tout-en-un doté d'une configuration à double écran : un écran tactile IPS avant de 27 pouces 4K (3840x2160) et un écran secondaire IPS arrière de 23 pouces (1920x158). Elle fonctionne sous Android 14 avec un processeur Quad-Core Cortex-A73, un NPU de 6.75 TOPS, 4 Go de mémoire LPDDR4x et 32 Go d'eMMC. Elle comprend deux haut-parleurs intégrés (20W au total), le contrôle vocal en champ lointain (FFV), des boutons de microphone, des capteurs d'illumination et de gyroscope. La connectivité comprend le Wi-Fi 6, le Bluetooth 5.3, l'HDMI 2.1, l'USB 2.0 et le Gigabit Ethernet. Alimentée par une batterie de 7.7V/80Wh pour un usage sans fil, ses dimensions fines sont de 400 x 1185 x 400 mm."
digital_frame.png,Veuillez me parler du cadre numérique intelligent.,Spécifications du cadre numérique,Cadre photo intelligent 15.6 pouces,Cadre numérique contrôlé par la voix,Options réseau du cadre intelligent,"Le cadre numérique intelligent est un écran intelligent basé sur Android 11 doté d'un panneau IPS FHD de 15.6 pouces (résolution 1920x1080) et d'un contrôle vocal en champ lointain (FFV). Il fonctionne avec un processeur Quad Cortex-A55, 3 Go de mémoire DDR4, 16 Go de stockage eMMC et un haut-parleur intégré de 3W. La connectivité réseau comprend le Wi-Fi 6 (802.11a/b/g/n/ac/ax 2T2R), le Bluetooth 5.2 et un port LAN filaire RJ45 10/100Mbps, offrant une expérience de visionnage multimédia claire et stable sous plusieurs angles."
stackable.png,Quel type de produit est le décodeur empilable ?,Spécifications du décodeur empilable,Infos sur le STB modulaire,Système de décodeur évolutif,Composants du module empilable,"Le décodeur empilable est un appareil IPTV/OTT modulaire basé sur Android TV qui permet de personnaliser les configurations en ajoutant des modules AP Wi-Fi et haut-parleur. Il est équipé d'un processeur Cortex-A73 à quatre cœurs, d'un OS Android 11, de 4 Go de mémoire LPDDR4x et de 16 Go de stockage eMMC. Il prend en charge le Bluetooth 5.2, l'HDMI 2.1, l'USB 2.0, le Gigabit Ethernet, la sortie audio numérique S/PDIF, Dolby Vision, HDR 10+ et le format MS12. Les dimensions modulaires comprennent le corps du STB (115x115x32 mm), le module haut-parleur (115x115x139 mm), le module AP (115x115x79 mm) et le module capuchon (115x115x18 mm)."
ai_speaker.png,Quelles sont les principales fonctions du haut-parleur avec IA ?,Spécifications du STB haut-parleur IA,Enceinte intelligente avec écran,Capacité de la batterie de l'enceinte IA,Caractéristiques matérielles de l'enceinte IA,"Le haut-parleur avec IA est une enceinte intelligente et décodeur (STB) basé sur Android 14 propulsé par un processeur Quad Cortex A73, 4 Go de mémoire LPDDR4x et 32 Go de stockage eMMC. Il intègre un haut-parleur de 10W, 4 microphones pour le contrôle vocal en champ lointain (FFV) à longue distance, un écran LCD secondaire de 5.5 pouces et une caméra FHD intégrée. Il prend en charge Dolby Vision, HDR 10+, HDMI 2.1, USB 3.0 et Gigabit Ethernet. Il dispose de capteurs optiques et de surveillance environnementale, d'une batterie interne de 5 000 mAh et de boutons matériels (alimentation, chaîne, volume). Ses dimensions sont de 178 x 145 x 95 mm."
wifi.png,Veuillez décrire le produit routeur sans fil WiFi.,Spécifications du routeur WiFi 7,Routeur sans fil haute performance,Spécifications du routeur OpenWRT,Routeur WiFi compatible MLO,"Le routeur WiFi 7 est un appareil sans fil haute performance alimenté par un processeur BCM6764 avec 512 Mo de mémoire DDR4, 128 Mo de mémoire flash et le système d'exploitation OpenWRT. Il dispose du MIMO 2x2 dans các bande de 2.4 GHz et 5 GHz, offrant des vitesses allant jusqu'à 3600 Mbps avec prise en charge d'Easy Mesh et de la technologie Multi-Link Operation (MLO). Les interfaces comprennent un port WAN de 2.5 Gbps, deux ports LAN de 1 Gbps, un port LAN de 2.5 Gbps et un port USB 2.0. Il intègre 4 antennes, des indicateurs LED RGB pour l'état du système, des boutons WPS/reset, et se gère à distance via des applications iOS et Android dédiées."
,Quelles fonctions le système MVN fournit-il ?,Qu'est-ce que le système MVN,Système de surveillance à distance MVN,Gestion de terminaux Azure IoT,Fonctions de gestion des applications MVN,"Le système MVN est une plateforme intelligente de gestion de terminaux qui permet aux opérateurs de contrôler et de surveiller à distance les appareils clients via un serveur fourni par le fabricant. Les fonctions de base comprennent le déploiement et la mise à niveau des applications Android, la vérification des listes/versions d'applications installées par utilisateur, et le contrôle des opérations (installation, suppression, gestion des versions) par utilisateur ou par groupe. Les fonctions de surveillance et de transmission de commandes de base reposent sur la technologie Microsoft Azure IoT pour visualiser l'état et les statistiques du terminal. L'enregistrement des journaux et la gestion du support client (CS) sont en cours de développement."
companion_robot.png,Qu'est-ce que le produit robot de compagnie MINTY ?,Infos sur le robot de compagnie MINTY,Spécifications du robot IA émotionnel,Caractéristiques du robot de compagnie autonome,Robot MINTY intégré avec ChatGPT,"MINTY est un robot de compagnie émotionnel d'intérieur doté d'une conduite autonome et de capacités de conversation vocale en temps réel. Grâce à de multiples capteurs et technologies de cartographie, il navigue dans les espaces intérieurs sans collision, reconnaissant les meubles, les jouets et les personnes, et est conçu pour localiser et suivre l'utilisateur. Il vise des interactions fluides en langage naturel grâce à l'intégration de modèles de langage avancés tels que ChatGPT et Gemini. Il dispose d'une IA émotionnelle conçue pour faire preuve d'empathie et répondre aux émotions de l'utilisateur, créant un lien semblable à celui d'un animal de compagnie. Ses dimensions compactes sont de 200 x 200 x 160 mm."
robico.png,Veuillez décrire le produit RoBico.,Spécifications du robot éducatif RoBico,Fonctions du robot de codage RoBico,Robot de codage pour enfants RoBico,Robot compatible CleverBlocks,"RoBico est un robot de codification éducatif conçu pour enseigner aux enfants les concepts d'algorithmes de base, allant des activités déconnectées au codage par blocs. Il suit les lignes noires à travers des courbes, des labyrinthes et des parcours d'escalade. Il comprend un contrôle précis de l'angle/position, des LED colorées sur les roues, un guidage vocal adorable, la détection d'obstacles et la prévention des chutes. Il s'intègre à l'outil de codage par blocs CleverBlocks pour l'apprentissage des séquences et des boucles, et offre un contrôle interactif sur smartphones, tablettes et téléviseurs via l'application RoBico. Il a remporté le prix Red Dot Design Award en 2022, pèse 105 g, mesure 60 x 67 x 48 mm, utilise des capteurs de couleur et IR, et se charge via USB-C."
